ano,total_somado,total_médio,n_registros,variação_%_soma,variação_%_média
2018,183263.11,137.1729865269461,1336,0.0,0.0
2019,228326.6,159.66895104895104,1430,24.589504128790573,16.399704556688267
2020,254249.26,177.17718466898955,1435,11.353324579790524,10.96533390181218
2021,230762.23,159.91838530838533,1443,-9.237796798307297,-9.74098295604363
2022,242220.5,168.91248256624826,1434,4.96540096704734,5.624179634204518
2023,268052.57,188.63657283603098,1421,10.664691881983558,11.677106374922207
2024,265803.33,181.93246406570842,1461,-0.8391040608191069,-3.5539814308172324
