ano,total_somado,total_médio,n_registros,variação_%_soma,variação_%_média
2018,35054.02,133.79396946564884,262,0.0,0.0
2019,41960.92,149.32711743772242,281,19.703588917904426,11.60975194480769
2020,44562.36,156.90971830985916,284,6.199673410401885,5.0778458743764965
2021,39207.62,138.54282685512368,283,-12.0162845953401,-11.705388074475575
2022,46913.24,166.35900709219857,282,19.653373502395688,20.07767624531198
2023,51253.02,185.69934782608695,276,9.250650775772474,11.625664923071866
2024,50202.31,176.7686971830986,284,-2.0500450510038237,-4.8091987115389205
